"","Subjects","Activities","tBodyAccMeanX","tBodyAccMeanY","tBodyAccMeanZ","tBodyAccStdX","tBodyAccStdY","tBodyAccStdZ","tGravityAccMeanX","tGravityAccMeanY","tGravityAccMeanZ","tGravityAccStdX","tGravityAccStdY","tGravityAccStdZ","tBodyAccJerkMeanX","tBodyAccJerkMeanY","tBodyAccJerkMeanZ","tBodyAccJerkStdX","tBodyAccJerkStdY","tBodyAccJerkStdZ","tBodyGyroMeanX","tBodyGyroMeanY","tBodyGyroMeanZ","tBodyGyroStdX","tBodyGyroStdY","tBodyGyroStdZ","tBodyGyroJerkMeanX","tBodyGyroJerkMeanY","tBodyGyroJerkMeanZ","tBodyGyroJerkStdX","tBodyGyroJerkStdY","tBodyGyroJerkStdZ","tBodyAccMagMean","tBodyAccMagStd","tGravityAccMagMean","tGravityAccMagStd","tBodyAccJerkMagMean","tBodyAccJerkMagStd","tBodyGyroMagMean","tBodyGyroMagStd","tBodyGyroJerkMagMean","tBodyGyroJerkMagStd","fBodyAccMeanX","fBodyAccMeanY","fBodyAccMeanZ","fBodyAccStdX","fBodyAccStdY","fBodyAccStdZ","fBodyAccJerkMeanX","fBodyAccJerkMeanY","fBodyAccJerkMeanZ","fBodyAccJerkStdX","fBodyAccJerkStdY","fBodyAccJerkStdZ","fBodyGyroMeanX","fBodyGyroMeanY","fBodyGyroMeanZ","fBodyGyroStdX","fBodyGyroStdY","fBodyGyroStdZ","fBodyAccMagMean","fBodyAccMagStd","fBodyBodyAccJerkMagMean","fBodyBodyAccJerkMagStd","fBodyBodyGyroMagMean","fBodyBodyGyroMagStd","fBodyBodyGyroJerkMagMean","fBodyBodyGyroJerkMagStd"
"1",1,"LAYING",0.11188779242,0.11305225202,0.122014523534,0.112472645402,0.12093235275,0.1204339690696,0.12112924586,0.11868291952,0.108739681422,0.105915560316,0.10208782538,0.120008224736,0.129437431966,0.12298497502,0.11696617892,0.113242705688,0.121525213704,0.112303994012,0.100744881146,0.1105737079,0.119274404388,0.11651171088,0.11310359476,0.111158783158,0.096482317086,0.120292624372,0.122610262962,0.105437851478,0.12643271018,0.122382135968,0.122747054146,0.116632344158,0.10834995989,0.12399441344,0.122902320326,0.1195943059058,0.10299760991,0.12462600916,0.117464867876,0.108695647796,0.1220290421,0.11581024312,0.118021952001,0.11858792301,0.098395634202,0.117153440264,0.116662212954,0.10819152371,0.11946866878,0.116741618966,0.109914391496,0.10806570659,0.124248744832,0.11380074964,0.111497549194,0.091366473576,0.1087783047,0.13384090266,0.1100518894,0.12340660462,0.122351635106,0.111227190938,0.113566815574,0.112086573844,0.12911045677,0.1133074993026
"2",1,"SITTING",0.103192523006383,0.110879817315957,0.106631039161702,0.120426994787234,0.106294098091489,0.105870325693617,0.107532226905319,0.111068178914894,0.11222759417234,0.0818185563021277,0.116907435538298,0.106932641608511,0.11283135106383,0.113808084993617,0.123924509719683,0.103021603091489,0.0998399735914894,0.109306598246809,0.106552050776596,0.112002463744681,0.107863256610638,0.10666971153617,0.11250214333617,0.114235446140426,0.0921502450723404,0.0837825865744681,0.101229729021277,0.11003965366383,0.109875224082979,0.116486941617021,0.116003696125532,0.0917851247446809,0.0892850965714894,0.113514294142553,0.115799896325532,0.111869001310638,0.119557329914894,0.116677909161702,0.118995173812766,0.109459352440426,0.111391481897872,0.11586828093617,0.11336542487234,0.113773101653191,0.10012986082766,0.111166705157447,0.109975845385106,0.0973734176851064,0.108842801759574,0.112719838557447,0.112269022787234,0.110122305787234,0.108802506402128,0.114648074485106,0.0960065700425532,0.109416005217021,0.120991282851064,0.110978330729787,0.11317070632766,0.111144497085106,0.115865930497404,0.108565373028511,0.10324514386383,0.105069340265957,0.0777906185319149,0.112008518940426
"3",1,"STANDING",0.122994272449811,0.122087857360377,0.136316489640359,0.141256835541509,0.114409844071698,0.117807671674906,0.123650813613208,0.130358233266038,0.123154399288679,0.133661219720755,0.143749229473585,0.133532366905792,0.129911295817925,0.1351257155,0.126233037423415,0.117713603718868,0.101029415101887,0.120569247493566,0.132191588058491,0.151103296407547,0.149359766945283,0.119982063430189,0.134149117858491,0.133909782259623,0.128704384752453,0.122483616908113,0.12234288059434,0.101019843420755,0.110253382730189,0.142074920654528,0.127628074403962,0.119737079624717,0.142637001566038,0.148552334983019,0.135997584338491,0.13945292305283,0.142535795496226,0.149193903345283,0.139864144375472,0.124745707471698,0.119845114930189,0.136616305077359,0.136891455235283,0.138593527279245,0.125480272735849,0.126030099603774,0.131865030894906,0.138342613103774,0.136414969228302,0.114840039379453,0.121947035381132,0.136204555309434,0.125300292737736,0.130920251373585,0.127639342739623,0.127904576915094,0.125098853258491,0.125004069541509,0.137212681990566,0.137521934358491,0.129320383881132,0.122206831266038,0.132654553433962,0.139033746466038,0.126210223310377,0.13955120135566
"4",1,"WALKING",0.0249590789736842,0.0258526325736842,0.0322355097831579,0.0484393388414737,0.0486796862347368,0.0349872039231579,0.0398721895782105,0.0419945661831579,0.0454298428863158,0.0393906308694737,0.0336783340652632,0.0521941864858947,0.0519678006105263,0.0436177120294737,0.0395025484672632,0.0520042466884211,0.0478364127052632,0.0370635077347368,0.0428604256905263,0.0441715154410526,0.0327450417389474,0.0420085293850526,0.0534619902642105,0.0422407249076,0.0355589279357895,0.0369125439042105,0.0328395568273684,0.0457838818642105,0.045914170498,0.0360211116178947,0.0302825145175789,0.0282994078112632,0.0316783732536842,0.0352137602862105,0.0416524054568421,0.0420971862852632,0.0362386720589474,0.0250590208526316,0.0350631471473684,0.0428140785768421,0.0373311482643158,0.0312438891431579,0.0350289438323158,0.0373962148243158,0.0400716037852632,0.0347382753322105,0.0378940723589474,0.0443434948736842,0.041241594136,0.0307121773421053,0.0427912915136842,0.0331109262389474,0.03511980674,0.0448930590809474,0.0445249096463158,0.0413718832410526,0.0342488125221053,0.0335994888696842,0.0453027129947368,0.0549813918968421,0.0416788703305263,0.0414988967252632,0.0387169485642105,0.0339881721578947,0.0422293364245263,0.0449538360630526
"5",1,"WALKING_DOWNSTAIRS",-0.189678235620408,-0.18523365074898,-0.184804171306122,-0.177696722212245,-0.178537018663265,-0.166093076402041,-0.182993298714286,-0.19281545589551,-0.190608379853878,-0.176167939957143,-0.180928033977551,-0.185268909210612,-0.18787288215102,-0.191363882118367,-0.192037254132653,-0.186513551264898,-0.185413373946939,-0.181314552361224,-0.186976010944898,-0.183315473428571,-0.178863524230408,-0.16544827282449,-0.180223188342857,-0.188571891595918,-0.163907852434694,-0.167127555469592,-0.174388245904082,-0.170482126865306,-0.157317493632653,-0.177599619949592,-0.176153239820408,-0.183563798983673,-0.181496438459184,-0.179494776293878,-0.180314793144898,-0.170273134028571,-0.172034334110204,-0.173815205285714,-0.17942848577551,-0.172499687179041,-0.202053753220408,-0.198438840655102,-0.196208379628571,-0.208527292897959,-0.199192835779592,-0.196066027473469,-0.216646281173469,-0.216207740777551,-0.209872183257143,-0.212550932065898,-0.204832663534694,-0.193269716979388,-0.171287245177551,-0.160908372612245,-0.177350233359184,-0.181581440538776,-0.197343022663673,-0.195512475095918,-0.208920465235918,-0.196637568071429,-0.196396486068571,-0.192899614348367,-0.167141089069388,-0.174364220345102,-0.181256912644898,-0.179428837223061
"6",1,"WALKING_UPSTAIRS",-0.0563899774132075,-0.0683815409585094,-0.0685538354188679,-0.0752219912207547,-0.0811392545990566,-0.0680957875811321,-0.0682395334943396,-0.0579378545584906,-0.0569394673471698,-0.0385966123075472,-0.0471305589207547,-0.0621106069528302,-0.0647170187867925,-0.0646589727075472,-0.0622731280943396,-0.0606347815850943,-0.0731538655490566,-0.0704055830584906,-0.0567480180528302,-0.0603968165113208,-0.0598877861679245,-0.054099935509434,-0.0626255556990566,-0.0633110727358491,-0.0634915403583019,-0.0667516467943396,-0.0641141381471698,-0.0642505576037736,-0.0620767094867925,-0.0696177122566038,-0.0666233249943396,-0.0640786863169811,-0.0614141959569811,-0.0639434256075472,-0.0597815884981132,-0.0674149242641509,-0.0709013692377359,-0.0609550423792453,-0.0613396227471698,-0.0710741016207547,-0.0705442349603774,-0.0630884815845283,-0.0596756370433962,-0.0629706381132075,-0.0674030477358491,-0.0671826470811321,-0.0637456981749057,-0.0607861148056604,-0.0664477524056604,-0.0584518350718868,-0.0683194710811321,-0.0685758339396226,-0.0552491876207547,-0.060818890690566,-0.0637169080026415,-0.058172027745283,-0.0515248714830189,-0.0704654999471698,-0.0600474323830189,-0.0541374870150943,-0.0670685137377359,-0.0698828807679245,-0.0716898851779245,-0.0671025789596226,-0.0685135398250943,-0.0630070088484906
"7",2,"LAYING",-0.24712097723125,-0.248864223297917,-0.248211422254167,-0.234540197584167,-0.219168526739583,-0.225513147997917,-0.240488524520833,-0.245824258527083,-0.253525879258333,-0.250387194538958,-0.227648958411479,-0.2184952733125,-0.223100344505833,-0.23077331833125,-0.226807425198125,-0.234388118154167,-0.22314220569375,-0.245804535745208,-0.2627867598125,-0.269702278845833,-0.2738580884,-0.297561564404167,-0.298914858396458,-0.3110654371875,-0.304297955225,-0.293119546119583,-0.246740801184375,-0.2400652285375,-0.2428599174125,-0.258526039270833,-0.267786150507292,-0.26603615135125,-0.291149913944792,-0.276093238873125,-0.274081072933333,-0.260051564779718,-0.257281928789583,-0.259347442055208,-0.255458296885417,-0.263843356529167,-0.273862371299583,-0.280191177360417,-0.28798180705,-0.313805157769771,-0.3166683670375,-0.326065944887917,-0.30049561815625,-0.279539246489583,-0.2692108958625,-0.279957442685417,-0.27145667218125,-0.269863187041667,-0.279126211896202,-0.274364606281458,-0.272978900556813,-0.26744067265625,-0.297395353239583,-0.275851455066667,-0.289116424172917,-0.283489218070833,-0.274539810581875,-0.259672542033333,-0.256284070647917,-0.25492885371875,-0.267895976390833,-0.258664821414583
"8",2,"SITTING",-0.191185925373913,-0.196764783013043,-0.194715765067174,-0.177956514673913,-0.143659491003043,-0.157417272765217,-0.121822630178696,-0.129546426367391,-0.134622155015217,-0.143721631554348,-0.152392516478261,-0.152274173723913,-0.176215827147826,-0.187804598717391,-0.179952909154348,-0.208727209669565,-0.194245278183043,-0.204866600447826,-0.218665310567391,-0.183509030013043,-0.171735695221739,-0.187887055459783,-0.186929967384783,-0.187670035493478,-0.20029956798913,-0.207748509628261,-0.208871565056522,-0.210275514330435,-0.190587282821739,-0.182042406128261,-0.186981983434783,-0.189342945478261,-0.180953079221739,-0.200875176686957,-0.174855679208696,-0.151001544075,-0.155083803934783,-0.159015716067391,-0.163199716502174,-0.156313691428261,-0.128407070271739,-0.140663621419565,-0.164950403176087,-0.171022015478261,-0.178751169158696,-0.188163830130435,-0.161605455458913,-0.192949019615217,-0.201569855276087,-0.192176002647826,-0.183498095305217,-0.173852630936957,-0.17934468876087,-0.19265136226087,-0.204510730030435,-0.205921693630435,-0.195425608393478,-0.200735586763043,-0.171843499012391,-0.172515248871739,-0.183767138758696,-0.194787963652174,-0.190337974485087,-0.175499235545652,-0.167954299454348,-0.169074242284783
"9",2,"STANDING",-0.140865284462963,-0.141678175925926,-0.158174863703704,-0.118411848131481,-0.11542771412963,-0.118099899166667,-0.143080900053704,-0.122164064648148,-0.118393025096296,-0.126744756874074,-0.123458368037037,-0.114603598388889,-0.112841740277778,-0.144085285611111,-0.125449649666667,-0.130776286925926,-0.130447597666667,-0.12217352487037,-0.120837478314815,-0.098878227037037,-0.0888937359259259,-0.0816102052592593,-0.0798639631296296,-0.0839169448888889,-0.103884960148148,-0.0826453684444444,-0.0880805316851852,-0.0957380569259259,-0.0739416454814815,-0.0696939945555556,-0.0799981720740741,-0.0947483830185185,-0.0888672747,-0.0738767341296296,-0.0760835216296296,-0.0795545015055556,-0.0789615472592593,-0.0826536764074074,-0.0862560012592593,-0.0681621665740741,-0.102448734444444,-0.110984785277778,-0.112172935796296,-0.113044595888889,-0.127170866777778,-0.1284937095,-0.131911800407407,-0.146668746388889,-0.119783208648148,-0.0971226666407407,-0.105254413574074,-0.0939582523518519,-0.0913953857018519,-0.0995055539259259,-0.0876971283333333,-0.103926745977778,-0.0984545050740741,-0.109517735381481,-0.0978259474814815,-0.0834771373518518,-0.0924452206666667,-0.103858489388889,-0.0904115773851852,-0.110810378166667,-0.115290480796296,-0.110916469833333
"10",2,"WALKING",-0.357623470628814,-0.362105108771186,-0.361970988271186,-0.367197171779661,-0.367712493684915,-0.349750852661017,-0.358722995045763,-0.372525799298305,-0.372165942947458,-0.360552993423729,-0.357235683355932,-0.356992747286949,-0.351387648633898,-0.349603985128814,-0.342503307181356,-0.344818134664407,-0.331964087834576,-0.340848106777966,-0.344297344915254,-0.346423997672881,-0.355698585786441,-0.358680190950847,-0.371143374379661,-0.369172476223729,-0.36522715440678,-0.376018621932203,-0.366970558723729,-0.356303972857627,-0.361005161949153,-0.356453284569492,-0.382366382589831,-0.390249192538983,-0.385993685794915,-0.379472942954237,-0.366405128920339,-0.365328439727119,-0.366321299627119,-0.375943278133898,-0.362508082418644,-0.353551382080475,-0.34065121910339,-0.342178311844068,-0.348945282255085,-0.366125790550847,-0.366011830756949,-0.359085916010169,-0.347897510857627,-0.3159328167,-0.338461425118644,-0.328690347813051,-0.329692961608475,-0.335726888083051,-0.334542546301695,-0.319528766461017,-0.331861320877966,-0.327090528701695,-0.332898924722034,-0.338006692135593,-0.332128756984746,-0.339402026254237,-0.355232139880678,-0.355776907510169,-0.336554993435593,-0.330656698437288,-0.344080969554068,-0.352442618774576
